date,min,max,median,q1,q3,stdev,count
2022-07-06T00:00:00.000Z,0.2,4.09,1.2,0.5,2.65,1.131,551
2022-07-07T00:00:00.000Z,0.3,2.6,1.17,0.75,1.5,0.512,372
2022-07-08T00:00:00.000Z,0.5,1.63,0.9,0.8,1.08,0.207,535
2022-07-09T00:00:00.000Z,0.2,2.29,0.6,0.4,1.14,0.494,517
2022-07-10T00:00:00.000Z,0.38,1.23,0.6,0.5,0.7,0.162,545
2022-07-11T00:00:00.000Z,0.4,1.8,1.03,0.7,1.3,0.345,402
2022-07-12T00:00:00.000Z,0.4,2.85,1.2,0.63,2.08,0.729,522
2022-07-13T00:00:00.000Z,0.93,9.02,2.4,1.5,4.48,1.589,453
2022-07-14T00:00:00.000Z,0.3,1.9,0.7,0.52,0.9,0.248,533
2022-07-15T00:00:00.000Z,0.4,1.8,0.8,0.6,1,0.282,513
2022-07-16T00:00:00.000Z,0.3,1.2,0.6,0.5,0.7,0.167,561
2022-07-17T00:00:00.000Z,0.3,1.7,0.6,0.45,0.9,0.309,584
2022-07-18T00:00:00.000Z,1,8.94,4.3,2.71,5.88,1.881,560
2022-07-19T00:00:00.000Z,2.02,11.45,3.3,2.9,8.68,2.967,523
2022-07-20T00:00:00.000Z,2.78,7.13,4.34,3.95,4.84,0.816,564
2022-07-21T00:00:00.000Z,4.9,11.1,7.88,6.8,8.6,1.177,560
2022-07-22T00:00:00.000Z,1.12,10.19,3.29,2.2,5.72,2.417,564
2022-07-23T00:00:00.000Z,0.73,3.15,1.3,1.1,1.65,0.446,552
2022-07-24T00:00:00.000Z,1.1,6.22,3.19,2.38,3.63,0.947,548
2022-07-25T00:00:00.000Z,1.6,8.43,5.31,3.92,6.18,1.525,570
2022-07-26T00:00:00.000Z,0.5,9.23,1.6,0.93,4.26,2.286,552
2022-07-27T00:00:00.000Z,0.28,3.25,0.5,0.43,0.6,0.63,554
2022-07-28T00:00:00.000Z,0.3,154.02,0.7,0.6,0.82,9.372,560
2022-07-29T00:00:00.000Z,0.7,1.93,1.33,1.2,1.5,0.24,321
2022-07-30T00:00:00.000Z,0.6,2.43,1.27,1,1.5,0.335,557
2022-07-31T00:00:00.000Z,0.8,40.45,1.66,1.2,2.7,2.476,570
2022-08-01T00:00:00.000Z,0.65,3.97,1.9,1.35,2.2,0.557,413
2022-08-02T00:00:00.000Z,0.45,5.63,1.4,1,1.7,0.473,471
2022-08-03T00:00:00.000Z,1.48,8.88,4.03,2.6,5.5,1.828,544
2022-08-04T00:00:00.000Z,1,5.4,2.29,1.83,3.63,1.061,424
2022-08-05T00:00:00.000Z,0.75,9.25,2.27,1.49,5.51,2.171,509
2022-08-06T00:00:00.000Z,0.3,4.68,0.68,0.5,1.2,1.018,533
2022-08-07T00:00:00.000Z,0.4,9.3,2.7,1.14,3.78,2.207,403
2022-08-08T00:00:00.000Z,0.9,9,1.9,1.5,3.47,1.768,489
2022-08-09T00:00:00.000Z,0.98,5.7,2.04,1.33,3.84,1.321,536
2022-08-10T00:00:00.000Z,1.3,4.97,2.78,2.17,3.1,0.774,369
2022-08-11T00:00:00.000Z,1.3,4.28,2.2,1.83,3.1,0.785,432
2022-08-12T00:00:00.000Z,1,4.95,2.12,1.45,3.45,1.115,514
2022-08-13T00:00:00.000Z,1.12,9.6,2.88,1.83,4.34,1.696,558
2022-08-14T00:00:00.000Z,0.8,8.27,3.1,1.7,5.53,1.988,492
2022-08-15T00:00:00.000Z,2.6,13.25,6.62,4.7,7.49,2.521,428
2022-08-16T00:00:00.000Z,4.97,25.55,12.81,9.66,16.73,5.281,500
2022-08-17T00:00:00.000Z,7.57,40,17.17,12.23,22.2,6.573,315
2022-08-18T00:00:00.000Z,4.78,22.08,10.07,7.82,13.07,3.283,464
2022-08-19T00:00:00.000Z,5.4,47.55,16.17,10.32,25.13,10.062,474
2022-08-20T00:00:00.000Z,1.1,17.82,4.84,1.85,9.1,4.361,512
2022-08-21T00:00:00.000Z,1.1,4.93,2.1,1.65,3.34,1.028,504
2022-08-23T00:00:00.000Z,0.93,3.1,1.7,1.4,2.29,0.532,257
2022-08-24T00:00:00.000Z,1.02,3.9,2.54,1.5,3.03,0.799,307
2022-08-25T00:00:00.000Z,1,2.08,1.59,1.4,1.7,0.22,92
2022-08-26T00:00:00.000Z,0.82,5.9,2,1.5,2.9,1.105,437
2022-08-27T00:00:00.000Z,3.28,13.52,5.3,4.38,5.9,1.804,282
2022-08-28T00:00:00.000Z,0.4,6.05,1.57,1.3,1.87,1.106,372
2022-08-29T00:00:00.000Z,0.4,2.25,0.83,0.7,1.1,0.297,531
2022-08-30T00:00:00.000Z,0.4,1.4,0.7,0.6,0.82,0.165,542
2022-08-31T00:00:00.000Z,0.4,1.7,0.88,0.6,1.1,0.298,531
2022-09-01T00:00:00.000Z,0.4,8.68,0.8,0.64,0.93,0.41,488
2022-09-02T00:00:00.000Z,0.47,1.4,0.8,0.7,0.9,0.152,463
2022-09-03T00:00:00.000Z,0.9,2.6,1.53,1.4,1.73,0.302,346
2022-09-04T00:00:00.000Z,0.5,2.5,0.9,0.8,1.3,0.366,193
2022-09-05T00:00:00.000Z,0.68,3.2,1.3,1,1.6,0.509,322
2022-09-06T00:00:00.000Z,0.6,2.2,1.5,1.1,1.77,0.408,517
2022-09-07T00:00:00.000Z,0.5,2.4,1,0.8,1.6,0.466,498
2022-09-08T00:00:00.000Z,0.45,2.2,0.85,0.7,1.02,0.387,253
2022-09-09T00:00:00.000Z,0.55,2.5,1.3,0.98,1.85,0.482,503
2022-09-10T00:00:00.000Z,1.35,3.2,1.9,1.7,2.1,0.343,460
2022-09-11T00:00:00.000Z,1.33,4.03,2.6,2.08,2.9,0.573,522
2022-09-12T00:00:00.000Z,1.55,5.03,3.5,2.85,3.9,0.76,451
2022-09-13T00:00:00.000Z,0.6,18,1.9,1.2,3.99,1.987,489
2022-09-14T00:00:00.000Z,0.22,1.6,0.65,0.5,1.1,0.346,507
2022-09-15T00:00:00.000Z,0.3,1.27,0.6,0.5,0.68,0.114,510
2022-09-16T00:00:00.000Z,0.4,32.4,0.6,0.5,0.84,2.873,484
2022-09-17T00:00:00.000Z,0.4,0.93,0.53,0.5,0.6,0.096,484
2022-09-18T00:00:00.000Z,0.3,1,0.55,0.5,0.6,0.1,496
2022-09-19T00:00:00.000Z,0.3,4.68,0.5,0.5,0.6,0.256,507
2022-09-20T00:00:00.000Z,0.3,5.3,0.6,0.5,0.8,0.338,398
2022-09-21T00:00:00.000Z,0.38,3.73,0.8,0.63,0.93,0.261,444
2022-09-22T00:00:00.000Z,0.8,15.13,1.89,1.23,2.6,1.163,498
2022-09-23T00:00:00.000Z,2.04,7.47,3.17,2.8,3.5,0.532,344
2022-09-24T00:00:00.000Z,1.12,25.27,3.3,2.2,5,2.052,513
2022-09-25T00:00:00.000Z,1.38,17.89,4.83,3.97,6.03,2.457,496
2022-09-26T00:00:00.000Z,0.73,22.4,3.53,2.13,9.97,4.516,475
2022-09-27T00:00:00.000Z,1,25.35,5.42,4,7.85,5.566,490
2022-09-28T00:00:00.000Z,1.35,25.97,4.2,2.9,11.63,7.129,482
2022-09-29T00:00:00.000Z,0.67,4.8,1.37,1.1,2.52,1.059,471
2022-09-30T00:00:00.000Z,1.02,4.59,1.89,1.53,2.52,0.686,330
2022-10-01T00:00:00.000Z,1.88,12.87,5.8,3.45,9,3.044,446
2022-10-02T00:00:00.000Z,4.17,14.3,6.68,5.6,9.77,2.859,239
2022-10-03T00:00:00.000Z,1.1,27.2,2.7,1.8,5.5,2.975,259
2022-10-04T00:00:00.000Z,1.2,17.17,3.42,2.6,4.2,2.652,293
2022-10-05T00:00:00.000Z,0.4,36.08,1.07,0.8,2.4,2.886,244
2022-10-06T00:00:00.000Z,0.8,2.65,1.33,1.12,1.5,0.337,207
2022-10-07T00:00:00.000Z,1.2,25.9,3.55,2.8,4.83,1.966,481
2022-10-08T00:00:00.000Z,0.7,46.2,1.93,1.42,2.49,2.889,424
2022-10-09T00:00:00.000Z,0.4,9.19,1.27,0.9,1.7,0.659,515
2022-10-10T00:00:00.000Z,1.38,4.37,2.29,1.97,2.7,0.55,540
2022-10-11T00:00:00.000Z,0.4,8.8,1.2,0.83,1.7,0.968,481
2022-10-12T00:00:00.000Z,0.63,40,1.1,0.97,1.37,2.619,247
2022-10-13T00:00:00.000Z,2,10.23,3.59,2.93,4.3,1.051,430
2022-10-14T00:00:00.000Z,1.5,28.98,9.19,3.72,11.93,4.827,347
2022-10-15T00:00:00.000Z,1.25,16.27,6.07,2.29,11.37,4.712,480
2022-10-16T00:00:00.000Z,0.8,13.57,2.27,1.6,3.63,1.992,419
2022-10-17T00:00:00.000Z,1.12,16.97,2,1.7,2.62,1.249,508
2022-10-18T00:00:00.000Z,0.4,35,0.8,0.7,1.4,3.391,348
2022-10-21T00:00:00.000Z,1.2,15.2,1.8,1.6,2.23,1.517,513
2022-10-22T00:00:00.000Z,2.9,71.03,6.53,4.73,7.97,5.747,522
2022-10-23T00:00:00.000Z,3.1,68.17,5.6,4.7,6.27,3.473,499
2022-10-24T00:00:00.000Z,1.3,220.53,4.3,2.69,5.67,10.048,485
2022-10-25T00:00:00.000Z,0.4,11.47,1.5,0.7,3.19,2.143,488
